,num_sectn_,RES_NM_REG
473,0002046004,Centre-du-Québec
474,0011615500,Montérégie
475,0002505001,Montérégie
476,0004014501,Montréal
477,0004028300,Lanaudière
478,0010937500,Abitibi-Témiscamingue
479,0074025002,Capitale-Nationale
480,0030937500,Laurentides
481,3035210000,Montérégie
482,0002050021,Chaudière-Appalaches
483,0044024010,Capitale-Nationale
484,0020251800,Estrie
485,0011252000,Estrie
486,0015310000,Mauricie
487,0011234000,Estrie
488,0052013000,Montréal
489,0001020906,Estrie
490,6124501005,Montréal
491,0013865500,Capitale-Nationale
492,8953101000,Chaudière-Appalaches
493,4350801000,Capitale-Nationale
494,3961801000,Mauricie
495,0007321021,Chaudière-Appalaches
496,7255102000,Intersection: Montérégie + Estrie
497,3480003000,Lanaudière
498,0035145000,Mauricie
499,0017324000,Chaudière-Appalaches
500,0020152015,Montérégie
501,0002047502,Centre-du-Québec
502,0001308000,Laurentides
503,0004057022,Capitale-Nationale
504,0035942500,Mauricie
505,7277302000,Centre-du-Québec
506,0064085001,Laurentides
507,0034049500,Montérégie
508,0004058008,Capitale-Nationale
509,4231201000,Capitale-Nationale
510,0034222000,Montérégie
511,8065001000,Centre-du-Québec
512,2248001500,Abitibi-Témiscamingue
513,0020421500,Chaudière-Appalaches
514,0007030010,Saguenay–Lac-Saint-Jean
515,1960010000,Abitibi-Témiscamingue
516,0011647500,Centre-du-Québec
517,9752001000,Gaspésie–Îles-de-la-Madeleine
518,7922910000,Centre-du-Québec
519,0023047000,Bas-Saint-Laurent
520,9831005000,Gaspésie–Îles-de-la-Madeleine
521,0010552500,Outaouais
522,0025551000,Estrie
523,0017030500,Saguenay–Lac-Saint-Jean
524,0007338031,Chaudière-Appalaches
525,0004001090,Montérégie
526,0004023400,Montréal
527,0003036001,Montérégie
528,0036530000,Capitale-Nationale
529,0044015013,Laval
530,0013887200,Côte-Nord
531,0002516004,Laval
532,0031145000,Laurentides
533,0039132000,Abitibi-Témiscamingue
534,3665001000,Lanaudière
535,0074045006,Capitale-Nationale
536,0021607800,Estrie
537,0014305000,Estrie
538,9454003000,Bas-Saint-Laurent
539,0036815000,Capitale-Nationale
540,0017107500,Chaudière-Appalaches
541,0027735000,Chaudière-Appalaches
542,0005004000,Outaouais
543,0002054010,Chaudière-Appalaches
544,9386101000,Bas-Saint-Laurent
545,0027525000,Chaudière-Appalaches
546,0004056002,Capitale-Nationale
547,0016109400,Estrie
548,0022106000,Montérégie
549,2672201000,Laurentides
550,2211796100,Abitibi-Témiscamingue
551,7277306000,Centre-du-Québec
552,0005503904,Estrie
553,0004050002,Capitale-Nationale
554,8847101000,Chaudière-Appalaches
555,0032732000,Laurentides
556,0004051707,Capitale-Nationale
557,0002002000,Montérégie
558,6519001000,Montérégie
559,0021603000,Estrie
560,0002063000,Chaudière-Appalaches
561,0064080006,Laurentides
562,8624405000,Chaudière-Appalaches
563,0026380000,Centre-du-Québec
564,8675001000,Chaudière-Appalaches
565,9626005750,Bas-Saint-Laurent
566,0020246500,Montérégie
567,0013883070,Côte-Nord
568,0023330000,Intersection: Montérégie + Estrie
569,0004008000,Montréal
570,0013882000,Côte-Nord
571,3011610000,Montérégie
572,0004064004,Capitale-Nationale
573,0002052020,Chaudière-Appalaches
574,0025131000,Estrie
575,0001022788,Estrie
576,0005554002,Mauricie
577,0034020000,Montérégie
578,8424001000,Estrie
579,0013278800,Gaspésie–Îles-de-la-Madeleine
580,0019960000,Gaspésie–Îles-de-la-Madeleine
581,0020430000,Chaudière-Appalaches
582,2671102000,Laurentides
583,0010826000,Estrie
584,0002510500,Montréal
585,0005556000,Mauricie
586,0029856000,Bas-Saint-Laurent
587,0012205000,Intersection: Montérégie + Centre-du-Québec
588,0014125000,Estrie
589,0013298500,Bas-Saint-Laurent
590,9176201000,Bas-Saint-Laurent
591,0061012002,Estrie
592,0005555500,Mauricie
593,0004051710,Capitale-Nationale
594,0013913000,Estrie
595,0013901000,Estrie
596,0014118500,Estrie
597,0036820000,Capitale-Nationale
598,0026333570,Chaudière-Appalaches
599,0024740000,Estrie
600,0093002000,Montérégie
601,0013888500,Côte-Nord
602,0004034009,Mauricie
603,0013826800,Mauricie
604,2191003000,Abitibi-Témiscamingue
605,0010120500,Abitibi-Témiscamingue
606,0011222000,Montérégie
607,0013283200,Gaspésie–Îles-de-la-Madeleine
608,0020410500,Estrie
609,0013259600,Bas-Saint-Laurent
610,0002044600,Centre-du-Québec
611,0002516002,Laval
612,0030745500,Outaouais
613,8537000100,Chaudière-Appalaches
614,0007338024,Chaudière-Appalaches
615,6317101000,Montérégie
616,0011774000,Intersection: Outaouais + Abitibi-Témiscamingue
617,0025550000,Estrie
618,0005501710,Estrie
619,2153101000,Abitibi-Témiscamingue
620,0002061020,Chaudière-Appalaches
621,0020251200,Estrie
622,0017029000,Saguenay–Lac-Saint-Jean
623,0004041005,Capitale-Nationale
624,2877001000,Outaouais
625,0012545000,Lanaudière
626,0007345003,Capitale-Nationale
627,9395001000,Bas-Saint-Laurent
628,0020440000,Chaudière-Appalaches
629,8629003000,Chaudière-Appalaches
630,4669006000,Saguenay–Lac-Saint-Jean
631,0012516509,Laval
632,0001517200,Montréal
633,0027727500,Chaudière-Appalaches
634,0002511000,Montréal
635,0004026813,Lanaudière
636,0001021204,Estrie
637,0016740000,Nord-du-Québec
638,0023432500,Bas-Saint-Laurent
639,0005006006,Outaouais
640,9652103000,Bas-Saint-Laurent
641,0001015475,Montérégie
642,0004058002,Capitale-Nationale
643,7751101000,Estrie
644,0001023800,Estrie
645,0033538000,Intersection: Laurentides + Lanaudière
646,0021616600,Estrie
647,0013215000,Montérégie
648,0016924000,Saguenay–Lac-Saint-Jean
649,0013811501,Montréal
650,6456803500,Montérégie
651,0019824800,Gaspésie–Îles-de-la-Madeleine
652,4177003000,Capitale-Nationale
653,0013201100,Montérégie
654,0041041906,Estrie
655,0025705000,
656,0004046007,Capitale-Nationale
657,0013843500,Capitale-Nationale
658,0016950500,Saguenay–Lac-Saint-Jean
659,0013299700,Bas-Saint-Laurent
660,4178002000,Capitale-Nationale
661,0032328000,Outaouais
662,0004056040,Capitale-Nationale
663,9583002000,Bas-Saint-Laurent
664,2740001000,Laurentides
665,0010115500,Abitibi-Témiscamingue
666,0013891200,Côte-Nord
667,0002012701,Montréal
668,0034432500,Laurentides
669,7922120000,Centre-du-Québec
670,0001519308,Laval
671,0013239500,Chaudière-Appalaches
672,3420103000,Lanaudière
673,0015838000,Lanaudière
674,0005029000,Laurentides
675,0007030002,Saguenay–Lac-Saint-Jean
676,0004061005,Capitale-Nationale
677,0003008000,Montérégie
678,0010848000,Chaudière-Appalaches
679,7338000500,Estrie
680,0017335000,Chaudière-Appalaches
681,0003034000,Montérégie
682,0036540000,Capitale-Nationale
683,0003007010,Montérégie
684,2498001000,Outaouais
685,0033310000,Laurentides
686,0023533000,Montérégie
687,7234301000,Centre-du-Québec
688,0001518200,Montréal
689,0064090510,Lanaudière
690,0034213000,Montérégie
691,0012532500,Lanaudière
692,0020142000,Montérégie
693,6537001000,Montérégie
694,9226302000,Bas-Saint-Laurent
695,0010461500,Montérégie
696,0032337500,Intersection: Laurentides + Outaouais
697,0010475000,Montérégie
698,0034142500,Lanaudière
699,3776002000,Mauricie
700,0023341000,Montérégie
701,0004058024,Capitale-Nationale
702,0054083007,Capitale-Nationale
703,0007338022,Chaudière-Appalaches
704,0020112500,Montérégie
705,0053001000,Montérégie
706,0036441500,Laurentides
707,0014806000,Outaouais
708,3224001000,Laurentides
709,0024745000,Estrie
710,0001020902,Estrie
711,0005504700,Estrie
712,0013886000,Côte-Nord
713,0004061702,Capitale-Nationale
714,0004026910,Lanaudière
715,0002014100,Montréal
716,0027936800,Chaudière-Appalaches
717,0004027500,Lanaudière
718,9221001000,Bas-Saint-Laurent
719,9890003000,Gaspésie–Îles-de-la-Madeleine
720,0003020510,Montérégie
721,7685101000,Estrie
722,3082001000,Laurentides
723,0007010004,Saguenay–Lac-Saint-Jean
724,0010825500,Estrie
725,0026333000,Chaudière-Appalaches
726,0014302000,Estrie
727,2158001000,Abitibi-Témiscamingue
728,0019575000,Bas-Saint-Laurent
729,6373700100,Montérégie
730,0005551002,Mauricie
731,0002042500,Centre-du-Québec
732,0025552000,Estrie
733,7985301000,Centre-du-Québec
734,0017570000,Intersection: Capitale-Nationale + Saguenay–Lac-Saint-Jean
735,0016951000,Saguenay–Lac-Saint-Jean
736,8835001000,Chaudière-Appalaches
737,0000503006,Outaouais
738,0014826800,Outaouais
739,9976007000,Gaspésie–Îles-de-la-Madeleine
740,0004057002,Capitale-Nationale
741,0034135000,Lanaudière
742,0004052510,Capitale-Nationale
743,0023266000,Bas-Saint-Laurent
744,0013370000,Montérégie
745,0014123000,Estrie
746,0011234600,Estrie
747,0011748000,Laurentides
748,0011652500,Centre-du-Québec
749,6666401000,Estrie
750,0002045100,Centre-du-Québec
751,9397001500,Bas-Saint-Laurent
752,2463002000,Outaouais
753,0034730000,Lanaudière
754,8765002000,Chaudière-Appalaches
755,0002061022,Chaudière-Appalaches
756,0007051004,Saguenay–Lac-Saint-Jean
757,6846501000,Estrie
758,0019824900,Gaspésie–Îles-de-la-Madeleine
759,0015315000,Mauricie
760,9336100100,Bas-Saint-Laurent
761,0029345000,Bas-Saint-Laurent
762,0022950000,Montérégie
763,0013291100,Gaspésie–Îles-de-la-Madeleine
764,9284002000,Bas-Saint-Laurent
765,0004051801,Capitale-Nationale
766,0028112500,Chaudière-Appalaches
767,0004050006,Capitale-Nationale
768,0020413000,Estrie
769,0029560000,Bas-Saint-Laurent
770,0022610000,Centre-du-Québec
771,9696701000,
772,0015717500,Mauricie
773,0007345051,Capitale-Nationale
774,0041046000,Estrie
775,0013290200,Gaspésie–Îles-de-la-Madeleine
776,0004064003,Capitale-Nationale
777,0004013921,Montréal
778,0014353000,Centre-du-Québec
779,0064081500,Laurentides
780,0013292200,Gaspésie–Îles-de-la-Madeleine
781,0022632500,Centre-du-Québec
782,7936001000,Centre-du-Québec
783,0013224800,Centre-du-Québec
784,0011336000,Nord-du-Québec
785,4857602000,Saguenay–Lac-Saint-Jean
786,9149002000,Chaudière-Appalaches
787,0036437500,Laurentides
788,0011240102,Estrie
789,0014737500,Estrie
790,0001302401,Montréal
791,0013901500,Estrie
792,0035436000,Capitale-Nationale
793,0016942000,Saguenay–Lac-Saint-Jean
794,8192204000,Centre-du-Québec
795,0011758500,Laurentides
796,0041043902,Estrie
797,0023630000,Montérégie
798,0002007900,Montérégie
