section,nom,type,debut,fin,dg,dt,cs,municipalite
54088000,Autoroute Duplessis,Route,Pont boulevard Hochelaga,Pont autoroute Félix-Leclerc,53.0,71.0,84.0,Québec
7185301000,,Route,rang du Chenal Tardif (71850),rang de l'Île (71851),53.0,64.0,6.0,Pierreville
2028000,autoroute 20,Route,boulevard Montarville,autoroute 30,56.0,29.0,2.0,Longueuil
2736001000,,Route,chemin des Cascades,réserve faunique Mattawin,53.0,88.0,9.0,Rivière-Rouge
33720000,route 337,Route,chemin Pincourt,Rang Sainte-Claire,56.0,29.0,2.0,Terrebonne
7346042,00073-03-041-34F0,Bretelle,00073-03-041-33S0,Intersection rue De Rochebelle,53.0,71.0,84.0,Québec
5554014,00055-05-040-32C0,Bretelle,SUR LA LIGNE DE CENTRE DE LA 55 VOIE SUD.,INTERS. BOUL. ST-JEAN.,53.0,70.0,7.0,Trois-Rivières
13804500,BOULEVARD SAINT-JEAN-BAPTISTE EST,Route,Intersection sud-ouest de la route 205,Intersection nord-est de la route 205,53.0,86.0,13.0,Sainte-Martine
34051000,CHEMIN DE LA CITÉ-DES-JEUNES,Route,bretelles vers aut. 540 sud,"rue du ""Flying J"" et bretelles vers aut. 540 nord",56.0,29.0,2.0,Vaudreuil-Dorion
20440000,route 204,Route,"route 281, à Saint-Camille",à l'intersection sud de la route 283,53.0,66.0,8.0,Saint-Just-de-Bretenières
13616500,00136-01-100-000D,Route,entréé A-10,sortie St-Laurent/Berry,56.0,29.0,2.0,Montréal
8494001000,,Route,route 204,6e rang (rue de l'Église)(84911),53.0,90.0,6.0,Audet
2004830,00020-01-070-31F0,Bretelle,Bretelle 00020-01-070-31E0 vers l'A-30 est,A-30 ouest,56.0,29.0,2.0,Vaudreuil-Dorion
19915000,ROUTE 199,Route,Chemin Le Pré,Chemin de L'Étang du Nord,53.0,63.0,6.0,Les Îles-de-la-Madeleine
4175000500,2e Rang,Route,Route 138,Bretelle 31A0,53.0,71.0,86.0,Donnacona
4050005,00040-07-110-31A0,Bretelle,A-40 Est,route Gravel,53.0,71.0,86.0,Neuville
20904000,ROUTE 209,Route,route 202 (Franklin Centre),"route 201, à Saint-Antoine-Abbé",53.0,86.0,12.0,Franklin
4057012,00040-08-043-32G0,Bretelle,A-40 ouest,Galerie de la Capitale et A740 Nord,53.0,71.0,84.0,Québec
4031200,autoroute 40,Route,"route 138, à la sortie 187",chemin des Petites-Terres,53.0,70.0,7.0,Trois-Rivières
4064002,A-40 et boulevard des Chutes bretelle B,Bretelle,boulevard des Chutes,A-40 O,53.0,71.0,84.0,Québec
17543000,route 175,Route,à 315 mètres au sud de l'aut. 20,autoroute 20,53.0,66.0,10.0,Lévis
33536000,route 335,Route,Fin de bretelle d'entrée vers A-640 ouest au nord de A-640,Int boul Industriel,56.0,29.0,2.0,Bois-des-Filion
34356000,,Route,à l'intersection nord de la route 337,route 347,53.0,88.0,6.0,Saint-Côme
13892500,route 138,Route,Rivière-Pigou,rivière au Tonnerre,53.0,67.0,7.0,Rivière-au-Tonnerre
15557000,route 155,Route,"route de l'Ermitage, à Lac-Bouchette",Rue Bouchard  (St-François-de-Sales),53.0,68.0,8.0,Lac-Bouchette
9478201000,Chemin de Val-Neigette,Route,RTE 232,A VAL-NEIGETTE,53.0,65.0,6.0,Rimouski
38250000,ROUTE 382,Route,Rue du Carrefour,limite Latulipe-et-Gaboury,53.0,91.0,10.0,Latulipe-et-Gaboury
32908000,route 329,Route,chemin des Mille-Îles (31370),route 364,53.0,88.0,7.0,Morin-Heights
1015625,00010-02-040-31C0,Bretelle,Rang de l'Église (Route 227),Viaduc sous le rang de l'Église (Route 227),53.0,86.0,11.0,Marieville
6644101000,Chemin du Curé-Godbout,Route,chemin Brigham (66663),route 104,53.0,90.0,12.0,Brigham
7431000100,COOKSHIRE,L,Chemin Couture,Ch. Du Bassin et de la Rive,53.0,90.0,10.0,Compton
8478201000,"Chemin Principal, Chemin du Lac Drolet",Route,route de la Station (84712),rang Chalteau (5e Rang) (84750),53.0,90.0,6.0,Lac-Drolet
9583001500,Route Massé,Route,Route Sainte-Jeanne-d'Arc et 3ième rang Massé,Rue Viens,53.0,65.0,6.0,La Rédemption
8624501000,6e Avenue Sud,Route,route de Saint-Jean-de-la-Lande,limite de Saint-Georges,53.0,66.0,6.0,Saint-Georges
3098004000,30980-03-000-000C,Route,rue Rita,chemin de la côte Saint-Paul,53.0,88.0,7.0,Saint-Colomban
33745000,route 337,Route,à l'intersection nord de la route 125,route 341,53.0,88.0,7.0,Sainte-Julienne
